1	5	170	1	115
2	5	171	3	115
4	5	173	2	115
5	5	18	1	2
6	5	33	2	2
7	5	103	3	2
8	5	43	4	2
9	5	46	1	3
10	5	47	2	3
11	5	48	3	3
12	5	49	4	3
13	5	50	4	3
14	5	51	5	3
15	5	52	6	3
16	5	121	7	3
17	5	183	8	3
18	5	185	9	3
19	5	61	10	3
20	5	152	11	3
21	5	153	12	3
22	5	156	13	3
23	5	187	14	3
24	5	189	15	3
25	5	188	16	3
26	5	84	1	109
27	5	85	2	109
28	5	86	3	109
29	5	87	4	109
30	5	88	5	109
31	5	89	6	109
32	5	90	7	109
33	5	95	8	109
34	5	98	9	109
35	5	243	1	111
36	5	222	2	111
37	5	92	3	111
38	5	227	4	111
39	5	93	5	111
40	5	244	6	111
41	5	112	7	111
42	5	245	8	111
43	5	225	9	111
44	5	96	10	111
45	5	276	11	111
46	5	232	1	113
47	5	235	2	113
48	5	247	3	113
49	5	236	4	113
50	5	239	5	113
51	5	214	6	113
52	5	251	7	113
53	5	216	8	113
54	5	240	9	113
55	5	217	10	113
56	5	238	11	113
57	5	218	12	113
58	5	228	1	112
59	5	230	2	112
60	5	231	3	112
61	5	264	1	114
62	5	266	3	114
63	5	265	2	114
64	5	219	13	113
65	5	225	1	118
66	5	96	2	118
67	5	276	3	118
68	5	278	1	117
69	5	279	2	117
70	5	290	3	117
71	5	280	4	117
72	5	281	5	117
73	5	291	6	117
74	5	283	7	117
75	5	284	8	117
76	5	285	9	117
77	5	286	10	117
78	5	289	11	117
79	5	287	12	117
80	5	288	13	117
81	5	292	14	117
82	5	293	15	117
83	5	232	1	119
84	5	235	2	119
85	5	247	3	119
86	5	236	4	119
87	5	239	5	119
88	5	214	6	119
89	5	251	7	119
90	5	216	8	119
91	5	240	9	119
92	5	217	10	119
93	5	238	11	119
94	5	218	12	119
95	5	219	13	119
96	5	247	3	120
97	5	236	4	120
98	5	239	5	120
99	5	214	6	120
100	5	251	7	120
101	5	216	8	120
102	5	240	9	120
103	5	217	10	120
104	5	238	11	120
105	5	218	12	120
106	5	219	13	120
107	5	232	1	120
108	5	235	2	120
109	5	267	1	133
110	5	277	2	133
115	5	270	1	123
116	5	271	2	123
117	5	272	3	123
118	5	273	4	123
134	5	320	1	142
135	5	322	2	142
136	5	321	3	142
137	5	323	4	142
138	5	324	5	142
139	5	325	6	142
140	5	329	7	142
141	5	326	8	142
142	5	327	9	142
143	5	328	10	142
144	5	330	11	142
145	5	331	12	142
146	5	332	13	142
147	5	333	14	142
148	5	334	15	142
149	5	335	16	142
150	5	262	1	31
151	5	33	2	31
152	5	103	3	31
153	5	184	4	31
154	5	316	1	11
